"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00502180484447262,39,273,1.40386904761905,"Intermediate filament "," http://amigo.geneontology.org/amigo/term/GO:0005882"," IFFO1  DSP  NRP1  PNN  NEFM  KRT18  LMNB1  BFSP1  NES  MICAL1  INA  LMNTD1  DYRK1A  LMNA  SHANK2  KRT1  KRT24  IFFO2  KRT8  KRT4  KRT15  KRT13  KRT9  KRT2  LMNB2  PLEC  SYNM  KRT76  KRT5  KRT10  KRT3  KRT16  KRT14  KRT77  DMD  KRT6A  EPPK1  KRT12  NEFL"
0.00502180484447262,248,960,1.14818871732055,"Cell surface "," http://amigo.geneontology.org/amigo/term/GO:0009986"," CD38  PROM1  PKD1  CD4  PLAUR  CD6  ADGRA2  RTN4R  HSPA5  VAMP3  KCNH2  DCBLD2  GPC1  NGFR  ADGRF5  FGF10  PVR  CYP2W1  NOTCH3  CACNG4  MCAM  GPC4  NRDC  CDH17  SLC4A4  KCNN2  PSEN1  LRP2  ITGB5  ITGAE  ACHE  ERP29  LAG3  ICAM1  FLT3LG  APOH  TYRO3  NCR2  IL12RB1  NRP1  PROCR  CTSZ  CHRNA4  HM13  TLR8  SRPX  SLC7A5  CLPTM1  CD33  PTN  TFR2  SFRP4  TGFBR1  AMBP  ENG  APOA4  CD5  KRT18  FZD10  IL17A  TREML2  BTN2A1  ARSB  PDGFRB  SLC4A3  ITGB6  ITGA4  SDC1  KISS1R  CD2  ECE1  F3  CSF3R  EPCAM  KCNJ5  CLU  CD80  RAMP3  CNTFR  SDC4  BTN2A2  C3  CD93  GFRA4  AMOT  HSPA2  LRFN1  LBP  LDLR  NECTIN2  ACE2  MAS1  ADAM20  PTGFRN  NOTCH2  IL2RA  IL15RA  LRP4  HAVCR2  STAB2  LMO7  TMEM8B  SORL1  ADAM10  OIT3  ITGAV  ENPEP  ITGB7  MFGE8  FURIN  SLC39A6  TNFRSF11A  IGSF3  SEMA6C  ADAM15  PSEN2  HSPD1  ACKR2  EPHA5  CORIN  PDGFC  PAM  GLRA1  GFRA3  VWDE  EGFR  GPC3  RSPO2  NOTCH1  PTPRJ  CD226  ANK3  ADAM8  ADAM17  ASTN1  TMEM123  ADGRA3  HNRNPU  PLA2R1  CD8A  THY1  ENPP3  PROM2  PDIA4  CD109  LRFN2  NPTN  LRP8  FZD1  KIT  CLSTN2  SLAMF8  ACE  TNFRSF13C  ICOSLG  DIP2A  IL6R  FCRL3  AZGP1  ITGA5  TREML1  SDC3  KCNJ3  FZD5  ALPP  ANTXR2  FCRL4  LRPAP1  BSN  MST1R  RAET1E  SHH  TMC1  CLMP  ANPEP  PDIA3  ADAM29  ROR2  PCSK9  LMAN2  ROBO1  KRT4  CDH2  GPR37  CEL  PLA2G1B  FGB  DNAI2  CLSTN1  CD8B  CSPG4  HEG1  FZD4  SCUBE2  CLEC14A  ANO6  CD151  CALR  CDH5  NRXN1  ADIPOQ  RGMA  CSF1R  GPC6  KCNQ3  SLITRK6  ROBO2  GP1BA  ROR1  P4HB  LAMP1  KRT10  GLDN  TNFRSF4  BCAM  HMGB1  CD55  FUT4  MYO18A  IGF2R  SPN  NTRK1  PLXNB3  L1CAM  DMD  CR1  BMPR2  GPC2  AGER  MICB  MOG  NOTCH4  STRC  CLEC5A  MRC1  PTPRC  CD24  GRIN2B  PTPRK  ANTXRL  VASN  GPIHBP1  CNTNAP2  TPBG  NLGN2  IL27RA  CLSTN3  SEMA7A"
0.00502180484447262,94,297,1.25321643377199,"Postsynaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0045211"," CNTN1  CACNG4  CHRNA3  IGSF9B  NRP1  CHRNA4  GLRA2  KCND1  FMR1  GABRE  GRIN2D  GRIK5  CHRNE  SLC6A4  GABRA4  LIN7A  DBN1  STRN  GRIN3B  PLPPR4  PCDH17  CHRNA2  SLITRK3  GRIA3  LRFN1  LRRC4  CHRNA10  SYNE1  PRR7  KCNC3  LRRC4B  SLC6A11  DAGLA  SEMA4F  ABHD17C  GABBR2  ADAM10  CACNG8  ACP4  GRIP2  GABRA6  GLRA1  CNKSR2  ANK3  PTPRO  FARP1  UTRN  GRM1  KCNMA1  SORCS3  LRFN2  NPTN  NRG1  DGKI  CLSTN2  KCNB1  SHANK1  TAMALIN  SHANK2  GABRG1  GRM2  ADCY1  TMUB1  KCNC2  APBB1  KCNJ4  GRM5  GSG1L  CHRNA5  CDH2  GRIK1  CLSTN1  FBXO45  LRRTM4  KCNA3  NECTIN3  KCTD12  KCTD8  ADRA2C  SORCS2  GABRD  SHISA7  SHISA6  DNM3  GRIN3A  MAGEE1  DMD  GABBR1  SHISA8  SHISA9  GRIN2B  NLGN2  CHRNB1  CLSTN3"
0.00502180484447262,155,446,1.19347156111862,"Collagen-containing extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0062023"," SEMA3B  SERPINB1  USH2A  COL9A2  LTBP1  ELN  COL23A1  LAMA3  ENTPD2  CBLN4  F7  GPC1  NTN1  COL17A1  FGF10  LMAN1  GPC4  FBLN1  COL5A3  ACHE  NID2  ATRN  LTBP4  ICAM1  P3H2  LAMB1  APOH  CMA1  COL9A3  CHADL  MMP9  CTSZ  MXRA5  SRPX  APLP1  PTN  PCOLCE  PLOD3  AEBP1  MEGF9  AMBP  ATRNL1  KAZALD1  COL1A1  VTN  CTSC  APOA4  APOC3  MDK  SMOC2  COL7A1  FN1  PRG4  P3H1  F3  CTSD  LTBP2  TGFBI  CLU  MATN4  SERPINB6  CFP  OMD  COL5A1  LAMA5  ANGPTL6  F12  MATN3  POSTN  LOXL2  WNT2B  COL4A2  ADAMTS8  ADAM19  LAMC1  ANGPTL2  CCN3  EMILIN1  ANXA7  FRAS1  FBN2  PTPRQ  LMAN1L  MFGE8  ADAMTS10  TINAGL1  HDGF  HMCN1  ECM1  GPC3  HMCN2  SERPING1  FREM2  ABI3BP  ADAMTS5  ADAMTS3  C1QC  AZGP1  MATN1  SDC3  S100A9  COL6A3  IGFBP7  FBLN2  ADAMTS9  SHH  COL1A2  CTHRC1  FREM1  HTRA1  FBN1  MFAP4  HSP90B1  SERPINB12  KRT1  LTBP3  COL3A1  COL4A3  CDH2  FGB  COL8A2  LAMB2  LRRC15  COL6A5  MMRN2  CSPG4  CTSF  PODN  FGFBP3  CLEC14A  CD151  CALR  ADIPOQ  GPC6  BCAM  COL4A1  THSD4  COL4A5  AGRN  PRELP  LAMA2  LAMB3  COL4A6  SMOC1  EGFL6  L1CAM  COLQ  GPC2  COL11A2  TMEFF1  SPON1  GDF10  GREM1  ADAMTS2  SEMA7A"
0.00998039344772908,435,1965,1.10077605464249,"Intrinsic component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0031226"," M6PR  SLC7A2  PLXND1  ABCB5  CALCR  PROM1  SCN4A  SELE  PKD1  CD4  PLAUR  SEMA3B  CD6  CLCA4  CNTN1  SLC11A1  SLC7A9  KCNG1  INSRR  IFNGR1  RTN4R  ADRB1  EPHA3  CYBA  KCNH2  DCBLD2  LTK  GPC1  NGFR  SLC12A2  ERBB3  COL17A1  NEO1  ATP2B3  EPHA8  TRPM5  ASIC4  TRHDE  CDHR2  SLC24A1  CACNG4  GPC4  ADCY2  EPHA6  SLC4A4  CHRNA3  PSEN1  DLG3  ITGB5  ITGAE  FAT1  ATRN  ICAM1  SEMA6A  TYRO3  SEMA4G  NCR2  IL12RB1  NRP1  HCN2  CACNA1I  KCNK10  BDKRB1  ABHD12  PROCR  CHRNA4  ATP1B4  GLRA2  KCND1  MAGT1  GPR50  GABRE  FLT1  MMP15  TMC5  ZDHHC2  TUSC3  CLPTM1  OLFM2  ICAM4  CD33  GRIN2D  PLPPR2  KCNN1  GRIK5  TFR2  TGFBR1  CHRNE  SLC6A4  CNTNAP1  SLC16A6  GABRA4  NECTIN1  CD5  SELPLG  TSPAN11  SCNN1A  FZD10  PTK7  BTN2A1  MEP1A  NPR3  PCDH12  PDGFRB  UNC5A  PLXNA1  PODXL2  VIPR1  CLCN2  SLC4A3  ADAM23  ITGB6  ITGA4  IL1RL2  SDC1  KISS1R  GRIN3B  ELAPOR1  KCNC4  CD2  CD48  F3  PLPPR4  PKD2  PCDH17  CSF3R  KCNJ5  TNFSF11  CHRNA2  KCNJ8  GJA3  ADGRB2  SLITRK3  RAMP3  CNTFR  HVCN1  LRP1  ACVR1C  SLC12A4  SDC4  KCNK15  LYPD3  TM9SF2  GRIA3  S1PR4  FFAR2  PRRG2  SGCE  LRFN1  PODXL  LRRC4  SIGLEC9  CHRNA10  PGAP6  LDLR  MAS1  TRPM4  PLXNA3  TEX101  KCNC3  LRRC4B  SLC6A11  GUCY2D  PTPRA  SSTR4  LGR6  KL  NOTCH2  IL2RA  DAGLA  MIP  SMPD2  SEMA4F  STAB2  GABBR2  SORL1  LHCGR  EMILIN1  ITGAV  HCN4  PCDH10  TRPC3  ENPEP  VAMP1  LGR5  ITGB7  TMBIM6  SSTR1  SLC12A6  SLC39A6  MEP1B  NPC1  SLC14A1  ASGR1  TRPM2  CACNG8  ITGA10  GPA33  SEMA6C  EFNA3  AQP10  PSEN2  ABCG8  SLC20A1  ACKR2  TRPC1  EPHA5  CORIN  GABRA6  GLRA1  GPR6  EGFR  SLC16A2  GPC3  MIGA2  CDHR1  PTPRJ  ST14  TMC2  ROM1  CLEC1A  PCDH15  CD226  SLC2A13  PTPRO  ADAM8  ADAM17  KCNK13  GRM1  MERTK  PLA2R1  SCN3A  CD96  CD8A  KCNJ16  THY1  OBSCN  APCDD1  EPHB1  PROM2  PI4K2A  ADCY8  KCNMA1  SORCS3  PCDH1  LRFN2  NPTN  NRG1  MMP14  KIT  SLC34A2  CLSTN2  KCNB1  EDA  NPR2  IL6R  FCRL3  ITGA5  SHANK1  ADCY9  SHANK2  LRRC38  TM2D1  DDR2  NCSTN  LRRC52  KCNJ3  SGCB  FZD5  GABRG1  CCKAR  FCRL4  NFASC  RYK  MST1R  GRM2  NPY5R  SLC6A18  STXBP5  HCN1  LMTK2  ADCY1  TMC1  KCNC2  FRS2  TMEM130  CDH16  STIM1  SEMA6B  TMC8  KCNJ4  KCNV2  ADAM29  GRM5  IRS1  ROR2  GSG1L  LMAN2  KCNK9  SCN9A  PROKR1  DRD5  CHRNA5  PCDH7  ROBO1  KCNAB3  GPR25  GPRC5C  CDH2  EMB  GPR37  CEL  ALK  GRIK1  KCNK3  CLSTN1  CD8B  BSG  ADCY5  CSPG4  SLC19A1  C1QTNF1  SLCO4C1  RGMB  ADCY6  VWC2L  IGDCC3  FZD4  GPR156  LRRTM4  SLCO3A1  VSIG10  C8G  KCNA3  IL17RA  CD151  NECTIN3  GPR150  KCNG2  NRXN1  GAS1  SLC26A11  AMIGO1  ADGRB1  KCNA4  KCNJ14  CSF1R  EPHB3  ADGRG3  GPC6  ZNRF3  KIRREL1  LRRC55  KCNQ3  ADRA2C  KCNK12  SLITRK6  LRRC26  JAG2  SORCS2  SEMA4B  SLC24A3  GP1BA  IFNLR1  ROR1  MUC1  NRG3  LAMP1  TNFRSF4  TRABD2A  BCAM  CDHR4  TLR5  GABRD  SEMA4D  SHISA7  NRN1L  SELL  ADRB3  SHISA6  TMC3  PCDH18  RYR1  CACNA1H  IGF2R  SPN  NTRK1  CNGA1  PLXNB3  GRIN3A  GP1BB  CR1  BMPR2  ADGRG1  ATP10A  GPC2  TNFRSF25  DDR1  AGER  GABBR1  SHISA8  SHISA9  NOTCH4  PCDHAC2  EFNA4  CLEC5A  MRC1  PECAM1  MYMX  PTPRC  IFNGR2  TRABD2B  CD24  GRIN2B  PTPRK  GPR20  EPHB6  ORAI1  GPIHBP1  SSTR3  CNTNAP2  PCDH20  PTPRD  TPBG  VSIG10L2  GPR22  NLGN2  CHRNB1  ADCY4  EPHA1  IL27RA  STRA6  GCGR  ADGRL1  SEMA7A"
0.00998039344772908,120,401,1.20827890058659,"Synaptic membrane "," http://amigo.geneontology.org/amigo/term/GO:0097060"," CNTN1  SLC4A8  SNCAIP  CACNG4  GPC4  CHRNA3  PSEN1  IGSF9B  NRP1  PICK1  CHRNA4  SNPH  GLRA2  SYP  KCND1  FMR1  GABRE  GRIN2D  GRIK5  CHRNE  SLC6A4  CNTNAP1  PPP1R9B  GABRA4  NECTIN1  LIN7A  DBN1  ADAM23  OTOF  STRN  GRIN3B  PLPPR4  PCDH17  CHRNA2  SLITRK3  GRIA3  LRFN1  LRRC4  CHRNA10  SYNE1  PRR7  KCNC3  LRRC4B  SLC6A11  PTPRA  LRP4  DAGLA  STX11  SEMA4F  ABHD17C  GABBR2  ADAM10  CACNG8  ACP4  GRIP2  GABRA6  GLRA1  CNKSR2  ANK3  PTPRO  FARP1  UTRN  GRM1  CNTNAP4  PI4K2A  ADCY8  KCNMA1  SORCS3  LRFN2  NPTN  NRG1  DGKI  CLSTN2  KCNB1  SHANK1  TAMALIN  SHANK2  NCSTN  KCNJ3  GABRG1  GRM2  STXBP5  ADCY1  TMUB1  KCNC2  APBB1  KCNJ4  GRM5  GSG1L  CHRNA5  CDH2  GRIK1  CLSTN1  FBXO45  LRRTM4  RIMS2  KCNA3  NECTIN3  KCTD12  NRXN1  KCTD8  ADRA2C  SORCS2  PDE2A  ERC2  GABRD  SHISA7  SHISA6  DNM3  GRIN3A  MAGEE1  DMD  GABBR1  SHISA8  SHISA9  GRIN2B  NLGN2  CHRNB1  ADGRL1  CLSTN3"
0.0109305655558911,417,1881,1.10169539940182,"Integral component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0005887"," M6PR  SLC7A2  PLXND1  ABCB5  CALCR  PROM1  SCN4A  SELE  PKD1  CD4  PLAUR  SEMA3B  CD6  CLCA4  SLC11A1  SLC7A9  KCNG1  INSRR  IFNGR1  RTN4R  ADRB1  EPHA3  CYBA  KCNH2  DCBLD2  LTK  NGFR  SLC12A2  ERBB3  COL17A1  NEO1  ATP2B3  EPHA8  TRPM5  ASIC4  TRHDE  CDHR2  SLC24A1  CACNG4  ADCY2  EPHA6  SLC4A4  CHRNA3  PSEN1  DLG3  ITGB5  ITGAE  FAT1  ATRN  ICAM1  SEMA6A  TYRO3  SEMA4G  NCR2  IL12RB1  NRP1  HCN2  CACNA1I  KCNK10  BDKRB1  ABHD12  PROCR  CHRNA4  ATP1B4  GLRA2  KCND1  MAGT1  GPR50  GABRE  FLT1  MMP15  TMC5  ZDHHC2  TUSC3  CLPTM1  OLFM2  ICAM4  CD33  GRIN2D  PLPPR2  KCNN1  GRIK5  TFR2  TGFBR1  CHRNE  SLC6A4  CNTNAP1  SLC16A6  GABRA4  NECTIN1  CD5  SELPLG  TSPAN11  SCNN1A  FZD10  PTK7  BTN2A1  MEP1A  NPR3  PCDH12  PDGFRB  PLXNA1  PODXL2  VIPR1  CLCN2  SLC4A3  ADAM23  ITGB6  ITGA4  IL1RL2  SDC1  KISS1R  GRIN3B  ELAPOR1  KCNC4  CD2  PLPPR4  PKD2  PCDH17  CSF3R  KCNJ5  TNFSF11  CHRNA2  KCNJ8  GJA3  ADGRB2  SLITRK3  RAMP3  CNTFR  HVCN1  LRP1  ACVR1C  SLC12A4  SDC4  KCNK15  TM9SF2  GRIA3  S1PR4  FFAR2  PRRG2  SGCE  LRFN1  PODXL  LRRC4  SIGLEC9  CHRNA10  PGAP6  LDLR  MAS1  TRPM4  PLXNA3  KCNC3  LRRC4B  SLC6A11  GUCY2D  PTPRA  SSTR4  LGR6  KL  NOTCH2  IL2RA  DAGLA  MIP  SMPD2  SEMA4F  STAB2  GABBR2  SORL1  LHCGR  EMILIN1  ITGAV  HCN4  PCDH10  TRPC3  ENPEP  VAMP1  LGR5  ITGB7  TMBIM6  SSTR1  SLC12A6  SLC39A6  MEP1B  NPC1  SLC14A1  ASGR1  TRPM2  CACNG8  ITGA10  GPA33  SEMA6C  AQP10  PSEN2  ABCG8  SLC20A1  ACKR2  TRPC1  EPHA5  CORIN  GABRA6  GLRA1  GPR6  EGFR  SLC16A2  MIGA2  CDHR1  PTPRJ  ST14  TMC2  ROM1  CLEC1A  PCDH15  CD226  SLC2A13  PTPRO  ADAM8  ADAM17  KCNK13  GRM1  MERTK  PLA2R1  SCN3A  CD96  CD8A  KCNJ16  THY1  OBSCN  APCDD1  EPHB1  PROM2  PI4K2A  ADCY8  KCNMA1  SORCS3  PCDH1  LRFN2  NPTN  NRG1  MMP14  KIT  SLC34A2  CLSTN2  KCNB1  EDA  NPR2  IL6R  FCRL3  ITGA5  SHANK1  ADCY9  SHANK2  LRRC38  TM2D1  DDR2  NCSTN  LRRC52  KCNJ3  SGCB  FZD5  GABRG1  CCKAR  FCRL4  NFASC  RYK  MST1R  GRM2  NPY5R  SLC6A18  STXBP5  HCN1  LMTK2  ADCY1  TMC1  KCNC2  FRS2  TMEM130  CDH16  STIM1  SEMA6B  TMC8  KCNJ4  KCNV2  ADAM29  GRM5  IRS1  ROR2  GSG1L  LMAN2  KCNK9  SCN9A  PROKR1  DRD5  CHRNA5  PCDH7  ROBO1  KCNAB3  GPR25  GPRC5C  CDH2  EMB  GPR37  CEL  ALK  GRIK1  KCNK3  CLSTN1  CD8B  BSG  ADCY5  CSPG4  SLC19A1  C1QTNF1  SLCO4C1  ADCY6  VWC2L  IGDCC3  FZD4  GPR156  LRRTM4  SLCO3A1  VSIG10  C8G  KCNA3  IL17RA  CD151  NECTIN3  GPR150  KCNG2  NRXN1  SLC26A11  AMIGO1  ADGRB1  KCNA4  KCNJ14  CSF1R  EPHB3  ADGRG3  ZNRF3  KIRREL1  LRRC55  KCNQ3  ADRA2C  KCNK12  SLITRK6  LRRC26  JAG2  SORCS2  SEMA4B  SLC24A3  GP1BA  IFNLR1  ROR1  MUC1  NRG3  LAMP1  TNFRSF4  TRABD2A  BCAM  CDHR4  TLR5  GABRD  SEMA4D  SHISA7  SELL  ADRB3  SHISA6  TMC3  PCDH18  RYR1  CACNA1H  IGF2R  SPN  NTRK1  CNGA1  PLXNB3  GRIN3A  GP1BB  CR1  BMPR2  ADGRG1  ATP10A  TNFRSF25  DDR1  AGER  GABBR1  SHISA8  SHISA9  NOTCH4  PCDHAC2  CLEC5A  MRC1  PECAM1  MYMX  PTPRC  IFNGR2  TRABD2B  GRIN2B  PTPRK  GPR20  EPHB6  ORAI1  SSTR3  CNTNAP2  PCDH20  PTPRD  TPBG  VSIG10L2  GPR22  NLGN2  CHRNB1  ADCY4  EPHA1  IL27RA  STRA6  GCGR  ADGRL1  SEMA7A"
0.0153512772825489,195,601,1.15071233411397,"External encapsulating structure "," http://amigo.geneontology.org/amigo/term/GO:0030312"," MMP25  SEMA3B  SERPINB1  USH2A  COL9A2  LTBP1  ELN  COL23A1  LAMA3  ENTPD2  CBLN4  F7  GPC1  NTN1  COL17A1  FGF10  LMAN1  GPC4  FBLN1  COL5A3  ACHE  NID2  ATRN  LTBP4  ICAM1  P3H2  GLG1  LAMB1  APOH  CMA1  COL9A3  CHADL  PAPLN  MMP9  CTSZ  MXRA5  SRPX  MMP15  APLP1  PTN  PCOLCE  PLOD3  AEBP1  MEGF9  AMBP  ATRNL1  SPOCK2  KAZALD1  COL1A1  VTN  CTSC  APOA4  APOC3  MDK  SMOC2  COL7A1  FN1  PRG4  P3H1  F3  CTSD  LTBP2  TGFBI  CLU  MATN4  SERPINB6  CFP  OMD  NCAN  COL5A1  LAMA5  ANGPTL6  F12  MATN3  BCAN  POSTN  LOXL2  WNT2B  COL4A2  ADAMTS8  ADAM19  LAMC1  ADAMTS7  ANGPTL2  CCN3  MMP27  MMP13  EMILIN1  ANXA7  FRAS1  FBN2  PTPRQ  ADAMTS17  LMAN1L  HAPLN3  MFGE8  ADAMTS10  TINAGL1  HDGF  HMCN1  ECM1  FBLN7  ZAN  GPC3  HMCN2  SERPING1  FREM2  MEPE  ABI3BP  ADAMTS5  ADAMTS3  TIMP4  MMP14  C1QC  SPON2  AZGP1  MATN1  SDC3  ALPL  S100A9  COL6A3  IGFBP7  FBLN2  ADAMTS9  SHH  COL1A2  CTHRC1  FREM1  HTRA1  FBN1  MFAP4  HSP90B1  SERPINB12  ELFN2  KRT1  LTBP3  COL3A1  COL4A3  CDH2  FGB  COL8A2  LAMB2  LRRC15  COL6A5  HPSE  MMRN2  NDNF  CSPG4  CTSF  PODN  FGFBP3  LRRTM4  CLEC14A  CD151  ADAMTSL1  CALR  ADIPOQ  GPC6  CCBE1  GP1BA  OLFML2A  EMID1  BCAM  COL4A1  THSD4  COL4A5  AGRN  PRELP  RELN  SPOCK3  LAMA2  MMP1  LAMB3  COL4A6  MMP17  SMOC1  EGFL6  L1CAM  LRRC3C  PKHD1L1  COLQ  GPC2  ELFN1  COL11A2  TMEFF1  LRRC24  TRIL  SPON1  GDF10  VASN  MMP11  GREM1  MUC5AC  ADAMTS2  SEMA7A"
0.0153512772825489,194,600,1.14952240260882,"Extracellular matrix "," http://amigo.geneontology.org/amigo/term/GO:0031012"," MMP25  SEMA3B  SERPINB1  USH2A  COL9A2  LTBP1  ELN  COL23A1  LAMA3  ENTPD2  CBLN4  F7  GPC1  NTN1  COL17A1  FGF10  LMAN1  GPC4  FBLN1  COL5A3  ACHE  NID2  ATRN  LTBP4  ICAM1  P3H2  GLG1  LAMB1  APOH  CMA1  COL9A3  CHADL  PAPLN  MMP9  CTSZ  MXRA5  SRPX  MMP15  APLP1  PTN  PCOLCE  PLOD3  AEBP1  MEGF9  AMBP  ATRNL1  SPOCK2  KAZALD1  COL1A1  VTN  CTSC  APOA4  APOC3  MDK  SMOC2  COL7A1  FN1  PRG4  P3H1  F3  CTSD  LTBP2  TGFBI  CLU  MATN4  SERPINB6  CFP  OMD  NCAN  COL5A1  LAMA5  ANGPTL6  F12  MATN3  BCAN  POSTN  LOXL2  WNT2B  COL4A2  ADAMTS8  ADAM19  LAMC1  ADAMTS7  ANGPTL2  CCN3  MMP27  MMP13  EMILIN1  ANXA7  FRAS1  FBN2  PTPRQ  ADAMTS17  LMAN1L  HAPLN3  MFGE8  ADAMTS10  TINAGL1  HDGF  HMCN1  ECM1  FBLN7  ZAN  GPC3  HMCN2  SERPING1  FREM2  MEPE  ABI3BP  ADAMTS5  ADAMTS3  TIMP4  MMP14  C1QC  SPON2  AZGP1  MATN1  SDC3  ALPL  S100A9  COL6A3  IGFBP7  FBLN2  ADAMTS9  SHH  COL1A2  CTHRC1  FREM1  HTRA1  FBN1  MFAP4  HSP90B1  SERPINB12  ELFN2  KRT1  LTBP3  COL3A1  COL4A3  CDH2  FGB  COL8A2  LAMB2  LRRC15  COL6A5  HPSE  MMRN2  NDNF  CSPG4  CTSF  PODN  FGFBP3  LRRTM4  CLEC14A  CD151  ADAMTSL1  CALR  ADIPOQ  GPC6  CCBE1  GP1BA  OLFML2A  EMID1  BCAM  COL4A1  THSD4  COL4A5  AGRN  PRELP  RELN  SPOCK3  LAMA2  MMP1  LAMB3  COL4A6  MMP17  SMOC1  EGFL6  L1CAM  LRRC3C  COLQ  GPC2  ELFN1  COL11A2  TMEFF1  LRRC24  TRIL  SPON1  GDF10  VASN  MMP11  GREM1  MUC5AC  ADAMTS2  SEMA7A"
0.0153512772825489,312,1632,1.11473472763795,"Organelle subcompartment "," http://amigo.geneontology.org/amigo/term/GO:0031984"," M6PR  SPPL2B  COPZ2  RHBDD2  LAMP2  TMEM132A  SEC62  POMT2  CD4  PLAUR  SPAST  OSBPL5  SEC63  ALG1  CYP46A1  SLC18A1  CDH1  RETSAT  HSPA5  VAMP3  CYBA  ENTPD2  SYNE2  SLC9A7  ATXN3  SEL1L  ATP6AP1  RDH11  TMEM38A  CYP2W1  PTGS2  ST6GAL1  NOTCH3  LMAN1  GRAMD4  MOXD1  RAB21  PSEN1  UBA5  PLOD1  SLC27A5  ZMPSTE24  APOB  CHERP  PIGS  GRAMD1A  JPH4  SCFD1  TYRO3  PTGS1  SCD  RNF215  SEZ6L  PICK1  XBP1  SBF1  SPTLC2  VRK1  ABHD12  HM13  STS  ALG13  TLR8  PCSK1N  EMD  MAGT1  COG4  PIEZO1  ATP8B4  ZDHHC2  SQLE  TUSC3  NUCB1  CLIP3  GRIN2D  RASIP1  COPE  FKBP8  PLOD3  ERLIN1  STIM2  OSBP  PTPN5  MLEC  GOLPH3  SCAP  SSR3  LMAN2L  OTOF  PCSK4  MOGS  EVA1A  ABCB6  BIRC6  ELAPOR1  RNF19B  PLA2G4A  TMED5  HSD11B1  SPCS2  RAB32  CASQ2  PKD2  TMEM214  ATL2  AFTPH  ALG5  TGFBI  LRAT  MAPK8IP1  PIGT  PTGIS  VAMP7  SSR1  MYRF  GPR108  NECAB3  ATG14  EMC1  SDF2L1  REEP5  HRC  POMT1  NUP210  GUCY2D  LPIN3  LGR6  TMCC2  POSTN  EMC7  PTGFRN  NOTCH2  LPIN1  ERN2  RELCH  IL15RA  TMEM165  ARHGAP32  TMED7  DNAJC14  TESPA1  OS9  CKAP4  ZDHHC4  TEX2  DNAJC1  SORL1  MMP27  ADAM10  CYP19A1  ANXA7  PARP16  USO1  SEC24B  RNF185  B4GALNT3  LGR5  CERS5  ESYT1  TMBIM6  TMX1  LMAN1L  FURIN  KSR1  ILDR2  CASQ1  PSEN2  LBR  HSPD1  MARCHF4  SRPRB  CYP4V2  PAM  EGFR  CHST7  MTDH  SEC16A  NOTCH1  EI24  ABCB9  NBAS  TGOLN2  PLOD2  TXNDC11  CLGN  CERS3  MIA3  PI4K2A  FMN2  TMED6  SLC37A3  CLSTN2  B4GALT5  ZFAND2B  EDA  ZDHHC1  PCSK7  EMC10  STX5  CNST  ANTXR2  STT3B  RPN1  UBXN7  SHISA5  RP9  PIGO  PDZD8  HACD1  CYB5R2  RIC3  TMED3  HSP90B1  PDIA3  STIM1  CYP2S1  HID1  TMC8  CYP7A1  BSCL2  LMBRD1  SFTPC  SFTPB  LMAN2  TAPT1  TMED10  GPR37  RNF139  CLSTN1  BCL2  CYP4F22  EIF2AK3  MBOAT1  BSG  CERS6  SPTLC3  CYP7B1  NBEA  PLK3  GOLIM4  SEZ6L2  ZDHHC14  VCPIP1  GAL3ST3  DOLK  GRAMD2A  MCTP1  SLC35G1  MAN1B1  P4HTM  ERN1  RNF186  CALR  GCC1  SHISA2  TMEM259  EXT1  BACE2  GJC1  TMEM119  DENND5A  PRKD1  DHRS7C  FAF1  SRL  PCYT2  GSAP  CYP2R1  ARAP1  CYP26C1  CLN3  ZDHHC9  LRRK2  RYR1  FUT4  MYO18A  VKORC1L1  FLNA  IGF2R  KLHL14  ERO1A  CHSY3  ASPH  RYR2  SLC9A6  GRIN3A  SCAMP5  FICD  SREBF2  DISP3  ATXN2  ATP10A  HACD2  SACM1L  COG8  STIMATE  CERS1  TAP2  ATF6B  CYP21A2  AGPAT1  NOTCH4  MYMX  IFNGR2  CALR3  GRIN2B  TTYH1  PIP4K2B  NEU4  PTDSS2  CANX  CLSTN3"
